indvdID,siteID,taxonID,scientificName,taxonRank,utmZone,nlcdClass,elevation,growthForm,plantStatus,stemDiameter,height,maxCrownDiameter,ninetyCrownDiameter,canopyPosition
MLBS00797,MLBS,ACPE,Acer pensylvanicum L.,species,17N,deciduousForest,1172.84,single bole tree,Live,12.4,12.2,,,
MLBS01563,MLBS,ACPE,Acer pensylvanicum L.,species,17N,deciduousForest,1221.21,single bole tree,"Live, disease damaged",12.3,6.7,4.5,4.4,Mostly shaded
MLBS01628,MLBS,ACPE,Acer pensylvanicum L.,species,17N,deciduousForest,1310.19,single bole tree,"Live, physically damaged",13.9,6.5,6.1,3.6,Mostly shaded
MLBS01682,MLBS,ACPE,Acer pensylvanicum L.,species,17N,deciduousForest,1267.66,single bole tree,Live,19.8,11.5,6.3,6.0,Partially shaded
MLBS01675,MLBS,ACPE,Acer pensylvanicum L.,species,17N,deciduousForest,1310.19,single bole tree,Live,22.8,8.4,8.2,6.4,Mostly shaded
MLBS01671A,MLBS,ACPE,Acer pensylvanicum L.,species,17N,deciduousForest,1310.19,multi-bole tree,Live,10.3,7.5,8.6,4.9,Mostly shaded
MLBS01643,MLBS,ACPE,Acer pensylvanicum L.,species,17N,deciduousForest,1310.19,single bole tree,Live,17.5,9.1,6.0,6.0,Mostly shaded
MLBS01729,MLBS,ACPE,Acer pensylvanicum L.,species,17N,deciduousForest,897.62,single bole tree,Live,6.5,14.6,8.3,6.0,Mostly shaded
MLBS00128,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.1,single bole tree,Live,19.2,14.5,,,
MLBS00100A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.1,multi-bole tree,Live,25.5,15.4,,,
MLBS00094,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1180.77,single bole tree,Live,29.4,15.5,,,
MLBS00274,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.12,single bole tree,Live,29.8,17.4,,,
MLBS00292A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1178.17,multi-bole tree,Live,31.1,18.4,,,
MLBS00091,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1180.77,single bole tree,Live,17.2,16.1,,,
MLBS00256,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.12,single bole tree,Live,17.0,17.2,,,
MLBS00217,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.12,single bole tree,Live,34.5,15.7,,,
MLBS00251A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.12,multi-bole tree,Live,20.4,18.6,,,
MLBS00072,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1180.77,single bole tree,"Live, broken bole",12.0,6.2,,,
MLBS00202C,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.12,multi-bole tree,Live,11.3,16.1,,,
MLBS00083,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1180.77,single bole tree,Standing dead,21.4,14.5,,,
MLBS00070,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1180.77,multi-bole tree,Live,22.8,16.4,,,
MLBS00067,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1180.77,multi-bole tree,Live,23.2,16.1,,,
MLBS00088,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1180.77,single bole tree,Live,29.0,18.6,,,
MLBS00138A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.1,multi-bole tree,Standing dead,10.5,15.0,,,
MLBS00178A,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.1,multi-bole tree,Live,18.3,18.6,,,
MLBS00183,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.1,single bole tree,Live,26.7,17.7,,,
MLBS00277,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.12,single bole tree,Live,15.0,14.6,,,
MLBS00265,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.12,single bole tree,Live,28.6,15.6,,,
MLBS00252,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1173.12,multi-bole tree,Live,16.7,17.1,,,
MLBS00312,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1178.17,multi-bole tree,Live,35.6,19.4,,,
MLBS00556,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1169.01,single bole tree,Standing dead,12.2,9.8,,,
MLBS00473,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1169.65,single bole tree,"Live,  other damage",15.0,7.9,,,
MLBS00462,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1169.65,single bole tree,Live,15.3,15.3,,,
MLBS00505,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1169.65,single bole tree,Live,17.4,16.4,,,
MLBS00578,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.83,single bole tree,Live,14.6,14.6,,,
MLBS00427,MLBS,ACRU,Acer rubrum L.,species,17N,deciduousForest,1175.68,single bole tree,Live,15.2,13.2,,,
